STATE CODE,STATE,country
AB,Alberta,CA
AK,Alaska,US
AL,Alabama,US
AR,Arkansas,US
AS,American Samoa,US
AZ,Arizona,US
BC,British Columbia,CA
CA,California,US
CO,Colorado,US
CT,Connecticut,US
DC,District of Columbia,US
DE,Delaware,US
FL,Florida,US
GA,Georgia,US
GU,Guam,US
HI,Hawaii,US
IA,Iowa,US
ID,Idaho,US
IL,Illinois,US
IN,Indiana,US
KS,Kansas,US
KY,Kentucky,US
LA,Louisiana,US
MA,Massachusetts,US
MB,Manitoba,CA
MD,Maryland,US
ME,Maine,US
MI,Michigan,US
MN,Minnesota,US
MO,Missouri,US
MP,Northern Mariana Islands,US
MS,Mississippi,US
MT,Montana,US
NB,New Brunswick,CA
NC,North Carolina,US
ND,North Dakota,US
NE,Nebraska,US
NH,New Hampshire,US
NJ,New Jersey,US
NL,Newfoundland and Labrador,CA
NM,New Mexico,US
NS,Nova Scotia,CA
NT,Northwest Territories,CA
NU,Nunavut,CA
NV,Nevada,US
NY,New York,US
OH,Ohio,US
OK,Oklahoma,US
ON,Ontario,CA
OR,Oregon,US
PA,Pennsylvania,US
PE,Prince Edward Island,CA
PR,Puerto Rico,US
QC,Quebec,CA
RI,Rhode Island,US
SC,South Carolina,US
SD,South Dakota,US
SK,Saskatchewan,CA
TN,Tennessee,US
TX,Texas,US
UM,United States Minor Outlying Islands,US
UT,Utah,US
VA,Virginia,US
VI,Virgin Islands,US
VT,Vermont,US
WA,Washington,US
WI,Wisconsin,US
WV,West Virginia,US
WY,Wyoming,US
YT,Yukon,CA
